termID	en-US	fr-FR
OPPOSITE_LANGUAGE	Français	English
ROUTES.Home	home	acceuil
ROUTES.Home-alt	acceuil	home
ROUTES.Login	login	connexion
ROUTES.Login-alt	connexion	login
Version	Version	Version
Home.DateModified	Date Modified	Date de modification
ERROR.requiredRadioError	This field is required	Ce champ est obligatoire
Home.BeginTask	Begin Task	Commencer la tâche
AccessibilityDemo.Title	Accessibility Demo	Demo d'accessibilité
Title.Home	Home	Acceuil
Title.PersonalInfo	Personal Information	Informations-personnelles
Title.WorkInfo	Work Information	Information-de-travail
Title.BackgroundInfo	Background Information	Informations-preliminaires
ROUTES.PersonalInfo	personal-information	informations-personnelles
ROUTES.WorkInfo	work-information	information-de-travail
ROUTES.BackgroundInfo	background-information	informations-preliminaires
ROUTES.BackgroundInfo-alt	background-information	informations-preliminaires
ROUTES.WorkInfo-alt	work-information	information-de-travail
ROUTES.PersonalInfo-alt	personal-information	informations-personnelles
ACC_DEMO.MODAL_TITLE	Steps	Pas
ACC_DEMO.HAMBURGER_ARIA	Open the progress indicator	Ouvrez l'indicateur de progression
ACC_DEMO.BACKGROUNDINFO	Background information	Informations d'arrière-plan
ACC_DEMO.WORKINFO	Work information	Informations professionnelles
ACC_DEMO.PREVIOUS_PAGE.CONTENT	This page is not part of the prototype. Please use the button below to return to the previous screen.	Cette page ne fait pas partie du prototype. Veuillez utiliser le bouton ci-dessous pour revenir à l'écran précédent.
ACC_DEMO.NEXT_PAGE	This is an example of a next page - it is simply here for demonstration purposes and is not set up for correct accessibility. Note the update to the progress indicator at the top of the page. You can navigate using the progress indicator	Ceci est un exemple d'une page suivante - il est simplement là à des fins de démonstration et n'est pas configuré pour une accessibilité correcte. Notez la mise à jour de l'indicateur de progression en haut de la page. Vous pouvez naviguer en utilisant l'indicateur de progression
ACC_DEMO.ERRORS.FAMILY_NAME_REQUIRED	This field is blank. Please enter a family name	Ce champ est vide. Veuillez saisir un nom de famille
